EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,HireYear
284,Kojo Ampofo,63025,Production Technician I,MA,1983-05-16,F,Single,2014-02-17,NULL,Active,Production,LinkedIn,Needs Improvement,2.44,Excellent,2014
287,Akua Addo,74813,Production Technician II,MA,1985-03-15,F,Single,2011-01-10,7/2/2014,Voluntarily Terminated,Production,LinkedIn,Fully Meets,4.4,Average,2011
293,Adwoa Boateng,113999,Database Administrator,MA,1986-08-07,M,Married,2015-02-16,2/22/2017,Terminated for Cause,IT/IS,Employee Referral,Fully Meets,4.33,Average,2015
4,Emily Brown,64991,Production Technician I,MA,1988-09-27,F,Married,2008-01-07,NULL,Active,Production,Indeed,Fully Meets,4.84,Excellent,2008
10,Samantha Taylor,50178,IT Support,MA,1988-01-07,M,Divorced,2015-01-05,NULL,Active,IT/IS,Indeed,Fully Meets,5.0,Excellent,2015
30,Michelle Moore,63000,Accountant I,MA,1987-11-24,F,Married,2008-10-27,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,4.5,Low,2008
76,Holly Jenkins,70621,IT Support,MA,1988-07-18,F,Married,2015-01-05,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.11,Good,2015
107,Benjamin Campbell,57815,Production Technician I,MA,1980-05-08,F,Single,2014-09-29,NULL,Active,Production,Indeed,Exceeds,3.9,Good,2014
113,John Thompson,68898,Production Technician II,MA,1964-10-12,M,Married,2010-04-26,5/30/2011,Voluntarily Terminated,Production,Diversity Job Fair,PIP,3.0,Average,2010
124,Erica Bell,64246,Production Technician II,MA,1988-08-10,M,Single,2013-11-11,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Average,2013
131,Joshua Lewis,97999,Database Administrator,MA,1984-02-21,F,Single,2015-03-30,NULL,Active,IT/IS,Indeed,Fully Meets,4.48,Excellent,2015
144,Ashley Jenkins,46837,Production Technician I,MA,1959-08-19,M,Married,2011-11-07,4/29/2018,Voluntarily Terminated,Production,CareerBuilder,Exceeds,4.7,Good,2011
164,Mason Clarke,63676,Production Technician I,MA,1979-01-17,F,Single,2011-09-26,8/19/2018,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.88,Average,2011
165,Chloe Lewis,93046,Shared Services Manager,MA,1984-06-10,M,Married,2016-01-05,NULL,Active,Admin Offices,CareerBuilder,Fully Meets,4.1,Good,2016
193,Zoey Baker,72106,Production Technician II,MA,1976-12-03,M,Single,2012-01-09,NULL,Active,Production,Diversity Job Fair,Fully Meets,4.1,Good,2012
202,Andrew Martin,52984,Production Technician I,MA,1967-06-03,F,Separated,2013-04-01,NULL,Active,Production,Diversity Job Fair,Exceeds,4.0,Average,2013
209,Madison Collins,47414,Production Technician I,MA,1976-12-11,M,Married,2013-09-30,NULL,Active,Production,LinkedIn,Exceeds,5.0,Average,2013
212,Dylan Martinez,63515,Production Technician I,MA,1979-05-01,F,Married,2011-02-07,1/12/2014,Voluntarily Terminated,Production,Google Search,Fully Meets,3.89,Good,2011
243,Emily Simmons,53180,Production Technician I,MA,1987-03-18,M,Single,2011-04-04,8/13/2018,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,Excellent,2011
246,Caleb Gray,86214,Software Engineer,MA,1986-07-24,F,Married,2012-11-05,NULL,Active,Engineering,Indeed,Fully Meets,4.2,Average,2012
255,Akua Boateng,87826,Data Analyst,MA,1970-02-08,M,Married,2015-01-05,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.32,Average,2015
291,Ama Gyamfi,88976,Production Manager,MA,1968-10-10,M,Divorced,2011-08-01,NULL,Active,Production,Employee Referral,Fully Meets,3.93,Average,2011
296,Kwaku Nkrumah,66541,Production Technician II,MA,1976-02-10,M,Single,2014-08-18,NULL,Active,Production,Employee Referral,Fully Meets,3.11,Excellent,2014
300,Efia Owusu,107226,Sr. Network Engineer,MA,1978-05-02,F,Widowed,2015-03-30,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.2,Good,2015
5,David Jones,50825,Production Technician I,MA,1989-09-08,F,Divorced,2011-07-11,9/6/2016,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,Good,2011
7,Christopher Miller,95660,Software Engineer,MA,1979-05-24,F,Single,2014-11-10,NULL,Active,Engineering,LinkedIn,Fully Meets,3.04,Average,2014
9,Matthew Anderson,47837,Production Technician I,MA,1970-02-11,F,Single,2009-07-06,NULL,Active,Production,Diversity Job Fair,Fully Meets,4.46,Average,2009
29,David Wilson,53492,Production Technician I,MA,1990-08-24,F,Married,2012-04-02,6/15/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,3.35,Good,2012
45,Jason Mitchell,60380,Production Technician I,MA,1983-08-24,M,Single,2013-07-08,NULL,Active,Production,LinkedIn,Fully Meets,3.8,Excellent,2013
50,Chelsea Hill,64066,Production Technician II,MA,1981-08-31,F,Married,2011-05-16,1/7/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,4.2,Excellent,2011
83,Christopher Wilson,54285,Production Technician I,MA,1978-08-25,M,Married,2014-03-31,NULL,Active,Production,Employee Referral,Fully Meets,4.2,Average,2014
90,Erin Martinez,57748,Production Technician I,MA,1955-04-14,F,Married,2011-11-07,5/17/2016,Voluntarily Terminated,Production,Google Search,Fully Meets,3.13,Average,2011
105,Ryan Turner,59370,Area Sales Manager,OH,1971-07-10,F,Widowed,2014-07-07,9/5/2015,Terminated for Cause,Sales,CareerBuilder,Fully Meets,3.97,Good,2014
108,Samantha Griffin,61555,Area Sales Manager,IN,1989-09-22,F,Single,2015-02-16,NULL,Active,Sales,Indeed,Fully Meets,4.5,Excellent,2015
111,Nicholas Richardson,53018,Production Technician I,MA,1992-06-18,F,Single,2013-11-11,NULL,Active,Production,Indeed,Fully Meets,4.3,Excellent,2013
114,Laura Wright,61242,IT Support,MA,1981-04-16,F,Separated,2015-01-05,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.61,Good,2015
115,Zachary Reed,66825,Production Technician II,MA,1986-05-25,F,Married,2014-05-12,NULL,Active,Production,LinkedIn,Fully Meets,4.6,Average,2014
125,Christopher Scott,52177,Production Technician I,MA,1952-08-18,F,Single,2012-01-09,12/15/2015,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.64,Good,2012
146,Nicole Patterson,63322,Production Technician II,MA,1969-09-08,F,Single,2014-07-07,NULL,Active,Production,LinkedIn,Exceeds,4.3,Average,2014
186,Aiden Gray,62659,Production Technician I,MA,1968-05-30,F,Single,2012-04-02,11/11/2016,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.18,Good,2012
262,Kwesi Mensah,66593,IT Support,MA,1973-03-12,F,Married,2011-06-10,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,Average,2011
302,Akua Anokye,55140,Production Technician I,MA,1965-09-09,M,Married,2011-05-16,9/7/2015,Voluntarily Terminated,Production,Website,Fully Meets,5.0,Average,2011
15,Ryan Lee,52505,Production Technician I,MA,1977-07-15,M,Divorced,2012-09-24,4/6/2017,Voluntarily Terminated,Production,On-line Web application,Fully Meets,5.0,Excellent,2012
22,Megan Thompson,64919,Production Technician I,MA,1958-12-27,F,Divorced,2013-08-19,NULL,Active,Production,Indeed,Fully Meets,4.2,Average,2013
53,Timothy Harris,63108,Production Technician I,MA,1977-09-08,M,Single,2013-07-08,NULL,Active,Production,Employee Referral,Fully Meets,4.4,Excellent,2013
123,Matthew Reed,54828,Production Technician I,MA,1977-03-23,F,Married,2011-11-28,NULL,Active,Production,Google Search,Fully Meets,4.2,Good,2011
158,Elijah Campbell,82758,Production Manager,MA,1972-07-01,M,Married,2011-01-10,12/12/2015,Terminated for Cause,Production,Employee Referral,Fully Meets,4.78,Good,2011
172,Liam Turner,67237,Production Technician II,MA,1976-12-26,F,Widowed,2013-07-08,9/15/2016,Voluntarily Terminated,Production,LinkedIn,Fully Meets,4.65,Good,2013
194,David Phillips,52599,Network Engineer,MA,1979-04-04,F,Married,2015-02-16,NULL,Active,IT/IS,CareerBuilder,Fully Meets,3.81,Average,2015
218,Samuel Campbell,57954,Production Technician II,MA,1986-08-17,F,Married,2011-05-16,2/4/2013,Voluntarily Terminated,Production,Indeed,Exceeds,4.2,Excellent,2011
286,Kwadwo Darko,100416,Software Engineer,MA,1983-06-14,M,Single,2013-02-18,4/15/2018,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.6,Average,2013
288,Kweku Agyemang,76029,Network Engineer,MA,1969-03-31,M,Married,2015-03-30,NULL,Active,IT/IS,Employee Referral,Fully Meets,5.0,Good,2015
297,Aba Agyei,80512,Production Manager,MA,1955-11-14,F,Married,2011-09-26,1/2/2012,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.5,Average,2011
303,Kwabena Asamoah,58062,Production Technician I,MA,1983-07-30,F,Divorced,2011-01-10,5/14/2012,Voluntarily Terminated,Production,Google Search,Fully Meets,3.6,Excellent,2011
73,Patrick Lopez,59231,Area Sales Manager,WA,1987-05-14,F,Single,2012-02-20,NULL,Active,Sales,Website,PIP,2.3,Very Low,2012
157,Sophia Mitchell,93206,Sr. Network Engineer,MA,1986-04-23,M,Married,2014-11-10,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.46,Excellent,2014
206,Jack Hill,52674,Production Technician I,MA,1980-09-30,F,Single,2014-03-31,5/1/2018,Terminated for Cause,Production,LinkedIn,PIP,2.33,Low,2014
217,Scarlett Mitchell,45998,Production Technician I,MA,1986-07-20,F,Single,2011-05-16,10/25/2015,Voluntarily Terminated,Production,LinkedIn,Fully Meets,3.45,Good,2011
222,Daniel Foster,64724,Production Technician I,MA,1988-03-06,M,Married,2011-07-05,11/30/2012,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,Average,2011
234,Isaac Morgan,64971,Production Technician II,MA,1981-09-05,F,Divorced,2011-09-26,10/22/2011,Voluntarily Terminated,Production,Google Search,Fully Meets,4.5,Good,2011
235,Olivia Wright,55578,Production Technician II,MA,1972-07-03,M,Married,2011-07-05,2/8/2012,Voluntarily Terminated,Production,Indeed,Fully Meets,4.2,Excellent,2011
278,Kwesi Acheampong,72202,Production Technician II,MA,1953-05-24,F,Married,2011-05-16,7/8/2017,Voluntarily Terminated,Production,Google Search,Fully Meets,3.93,Average,2011
281,Esi Amankwah,67176,Production Technician II,MA,1975-09-16,M,Widowed,2007-06-25,8/30/2010,Voluntarily Terminated,Production,Other,Fully Meets,4.1,Good,2007
285,Yaa Ansah,75281,Network Engineer,MA,1988-05-05,M,Married,2015-01-05,2/12/2016,Voluntarily Terminated,IT/IS,CareerBuilder,Fully Meets,5.0,Average,2015
290,Kwabena Osei,58523,Production Technician I,MA,1987-01-31,M,Divorced,2012-08-13,2/5/2016,Voluntarily Terminated,Production,LinkedIn,Exceeds,4.5,Excellent,2012
2,Sarah Johnson,104437,Sr. DBA,MA,1975-05-05,M,Married,2015-03-30,6/16/2016,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,Average,2015
11,Daniel Martinez,54670,Production Technician I,MA,1974-01-12,F,Married,2011-01-10,1/12/2017,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.2,Good,2011
46,Rebecca Hernandez,66808,Area Sales Manager,TX,1970-06-11,M,Single,2012-05-14,NULL,Active,Sales,Employee Referral,Fully Meets,3.0,Excellent,2012
81,Anthony Hall,60070,Production Technician I,MA,1991-09-05,F,Married,2011-04-04,6/6/2017,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,Average,2011
106,Danielle Collins,54933,Production Technician I,MA,1974-08-09,M,Married,2012-04-02,6/25/2015,Voluntarily Terminated,Production,Diversity Job Fair,Needs Improvement,3.97,Good,2012
130,Lauren King,63478,Production Technician II,MA,1984-02-16,F,Married,2011-08-15,4/7/2012,Voluntarily Terminated,Production,Indeed,Fully Meets,3.03,Excellent,2011
137,Robert Lopez,68182,Production Technician II,MA,1976-09-22,F,Divorced,2011-02-21,4/1/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,3.72,Average,2011
197,Avery Coleman,57575,Production Technician I,MA,1980-04-18,M,Single,2013-07-08,NULL,Active,Production,LinkedIn,Fully Meets,4.1,Good,2013
200,Leo Turner,46664,Production Technician I,MA,1983-03-28,M,Married,2013-04-01,5/25/2016,Voluntarily Terminated,Production,Employee Referral,Fully Meets,3.18,Average,2013
216,William Murphy,60270,Production Technician II,MA,1989-07-18,F,Married,2011-07-05,9/15/2015,Voluntarily Terminated,Production,CareerBuilder,Needs Improvement,2.4,Excellent,2011
223,Stella Henderson,47001,Production Technician I,MA,1981-11-23,M,Single,2007-11-05,NULL,Active,Production,Google Search,Fully Meets,3.66,Average,2007
233,Grace Reed,46738,Production Technician I,MA,1973-01-12,F,Married,2011-11-28,NULL,Active,Production,Google Search,Exceeds,4.36,Excellent,2011
254,Kofi Osei,52087,Production Technician I,MA,1985-08-24,F,Married,2013-08-19,NULL,Active,Production,LinkedIn,Fully Meets,4.81,Good,2013
256,Nana Acheampong,51920,Administrative Assistant,MA,1988-05-19,F,Single,2015-05-01,NULL,Active,Admin Offices,Website,Fully Meets,5.0,Average,2015
289,Afia Mensah,57859,Area Sales Manager,AZ,1991-05-23,F,Married,2011-07-05,NULL,Active,Sales,Indeed,Fully Meets,2.81,Average,2011
294,Kobby Asamoah,49773,Production Technician I,MA,1986-06-03,F,Married,2011-09-26,2/8/2016,Terminated for Cause,Production,Google Search,Exceeds,4.3,Excellent,2011
1,John Smith,62506,Production Technician I,MA,1983-07-10,M,Single,2011-07-05,NULL,Active,Production,LinkedIn,Exceeds,4.6,Excellent,2011
58,Anna Reed,83552,Data Analyst,MA,1986-08-26,M,Married,2015-03-30,NULL,Active,IT/IS,Indeed,Fully Meets,3.04,Average,2015
77,Daniel Bell,138888,IT Manager - Support,MA,1970-07-09,M,Single,2014-01-05,NULL,Active,IT/IS,Indeed,Exceeds,4.3,Excellent,2014
86,Allison Ward,59124,Production Technician I,MA,1989-05-06,F,Single,2014-02-17,2/25/2018,Terminated for Cause,Production,Google Search,Needs Improvement,2.3,Average,2014
95,William Harris,55965,Production Technician II,MA,1983-11-08,F,Married,2011-04-04,1/9/2013,Voluntarily Terminated,Production,Google Search,Fully Meets,3.66,Average,2011
102,Emily Adams,53171,Production Technician I,MA,1983-12-02,F,Single,2011-05-16,NULL,Active,Production,LinkedIn,Fully Meets,4.2,Good,2011
120,Brittany Davis,63813,Production Technician I,MA,1983-05-21,F,Divorced,2011-02-21,1/11/2014,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,5.0,Excellent,2011
128,Christina Russell,68099,Production Technician II,MA,1972-08-27,F,Single,2011-01-10,6/18/2013,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,5.0,Average,2011
150,Amanda Simmons,65310,Area Sales Manager,CO,1979-11-27,M,Single,2013-08-19,NULL,Active,Sales,Indeed,Fully Meets,4.3,Excellent,2013
153,Emily Watson,45433,Production Technician I,MA,1970-10-08,F,Married,2011-09-26,1/9/2014,Voluntarily Terminated,Production,Google Search,Fully Meets,3.49,Good,2011
199,Eleanor White,50470,Production Technician I,MA,1989-05-02,M,Single,2011-09-26,4/4/2014,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.3,Average,2011
201,Addison Adams,48495,Production Technician I,MA,1977-04-08,M,Married,2014-05-12,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Excellent,2014
208,Ryan Mitchell,63051,Area Sales Manager,FL,1990-05-11,F,Single,2013-09-30,NULL,Active,Sales,Indeed,Fully Meets,4.28,Average,2013
227,Sophia Price,46430,Production Technician I,MA,1970-09-22,F,Divorced,2012-09-24,6/18/2013,Voluntarily Terminated,Production,Indeed,Fully Meets,4.5,Excellent,2012
241,Ava Nelson,150290,Data Architect,MA,1972-11-21,F,Single,2017-01-07,NULL,Active,IT/IS,Indeed,Fully Meets,4.94,Average,2017
261,Yaa Appiah,58939,Production Technician I,MA,1965-02-02,F,Single,2013-11-11,NULL,Active,Production,Employee Referral,Fully Meets,3.73,Average,2013
267,Maa Anokye,47961,Production Technician I,MA,1982-08-25,F,Divorced,2011-01-10,NULL,Active,Production,Google Search,Fully Meets,4.1,Good,2011
16,Olivia Davis,57834,Production Technician I,MA,1981-10-18,M,Single,2011-02-21,8/4/2017,Terminated for Cause,Production,Google Search,Fully Meets,5.0,Good,2011
27,Joseph Miller,106367,Sr. Accountant,MA,1987-04-04,F,Married,2015-02-16,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,5.0,Good,2015
51,Brandon Young,59369,Production Technician II,MA,1978-11-25,M,Married,2010-08-30,9/26/2011,Voluntarily Terminated,Production,Indeed,Fully Meets,4.2,Good,2010
52,Amber Foster,50373,Production Technician I,MA,1980-08-26,M,Married,2016-07-06,NULL,Active,Production,Employee Referral,Exceeds,4.1,Good,2016
67,Tyler Davis,101199,Software Engineer,MA,1979-07-05,F,Single,2012-01-09,NULL,Active,Engineering,CareerBuilder,Fully Meets,3.79,Excellent,2012
70,Kayla Coleman,53189,Production Technician I,MA,1967-04-19,M,Married,2014-07-07,NULL,Active,Production,Indeed,PIP,1.12,Low,2014
80,Brittany Cox,62514,Production Technician I,MA,1973-09-23,F,Married,2010-04-26,NULL,Active,Production,Google Search,Fully Meets,2.9,Average,2010
87,Andrew Scott,99280,Software Engineer,MA,1987-05-15,F,Married,2011-05-02,6/5/2013,Terminated for Cause,Engineering,Indeed,Needs Improvement,2.1,Excellent,2011
96,Morgan Bennett,70187,Area Sales Manager,MA,1975-07-07,M,Married,2014-09-29,8/19/2018,Terminated for Cause,Sales,Employee Referral,PIP,2.0,Excellent,2014
97,David Hernandez,178000,IT Director,MA,1980-07-05,M,Single,2011-04-15,NULL,Active,IT/IS,Indeed,Exceeds,5.0,Excellent,2011
100,Megan Mitchell,65707,IT Support,CT,1968-07-06,F,Single,2010-05-01,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.7,Good,2010
132,Stephanie Wilson,180000,Director of Sales,RI,1966-03-17,F,Married,2014-05-05,NULL,Active,Sales,LinkedIn,Fully Meets,4.5,Good,2014
151,Christopher Smith,250000,President & CEO,MA,1954-09-21,F,Married,2012-07-02,NULL,Active,Executive Office,Indeed,Fully Meets,4.83,Average,2012
169,Amelia Bryant,52624,Production Technician I,MA,1981-03-26,F,Married,2011-07-05,9/26/2018,Voluntarily Terminated,Production,Indeed,Fully Meets,3.18,Good,2011
170,Benjamin Carter,63450,Production Technician II,MA,1979-03-19,M,Married,2013-07-08,NULL,Active,Production,LinkedIn,Fully Meets,4.0,Average,2013
188,Carter Richardson,83667,Production Manager,MA,1981-08-10,M,Single,2012-08-16,NULL,Active,Production,Indeed,Fully Meets,4.37,Average,2012
231,Chloe Hughes,61809,Area Sales Manager,ID,1954-10-12,M,Married,2014-05-12,NULL,Active,Sales,CareerBuilder,Fully Meets,3.98,Average,2014
263,Afia Darko,87565,Sr. Network Engineer,MA,1983-02-09,M,Married,2016-06-30,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.27,Good,2016
274,Kojo Amoah,59238,Production Technician I,MA,1968-08-15,F,Single,2012-05-14,NULL,Active,Production,Indeed,Fully Meets,3.4,Excellent,2012
275,Efia Yeboah,92989,Software Engineer,MA,1983-05-06,M,Single,2014-07-07,NULL,Active,Engineering,LinkedIn,Exceeds,4.5,Excellent,2014
310,Esi Amoako,89292,Data Analyst,MA,1979-02-24,F,Single,2015-03-30,NULL,Active,IT/IS,Employee Referral,Fully Meets,5.0,Average,2015
36,Danielle Turner,77692,Software Engineering Manager,MA,1966-11-22,M,Single,2011-08-15,NULL,Active,Engineering,Google Search,Fully Meets,3.84,Average,2011
116,Amanda Morris,48285,Production Technician I,MA,1979-05-21,M,Married,2012-07-02,NULL,Active,Production,LinkedIn,Fully Meets,5.0,Average,2012
126,Sarah Hill,62065,Production Technician I,MA,1974-05-02,F,Married,2014-05-12,NULL,Active,Production,CareerBuilder,Exceeds,4.76,Good,2014
135,Andrew Taylor,69340,Production Technician II,MA,1984-03-11,F,Single,2016-06-06,NULL,Active,Production,LinkedIn,Fully Meets,3.0,Excellent,2016
141,Benjamin Young,45069,Production Technician I,MA,1966-03-22,F,Divorced,2013-09-30,NULL,Active,Production,Employee Referral,Fully Meets,4.3,Excellent,2013
154,Owen Stewart,46654,Production Technician I,MA,1977-11-10,M,Single,2014-02-17,NULL,Active,Production,LinkedIn,Fully Meets,3.1,Average,2014
167,Harper Price,70468,Area Sales Manager,UT,1988-12-27,M,Separated,2012-04-30,NULL,Active,Sales,Website,Fully Meets,4.53,Average,2012
171,Scarlett Hughes,51777,IT Support,CT,1988-10-05,F,Single,2011-01-21,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.64,Good,2011
189,Penelope Evans,55800,Production Technician II,MA,1985-06-29,M,Single,2011-08-15,9/4/2014,Voluntarily Terminated,Production,LinkedIn,PIP,3.0,Low,2011
205,Leah Morris,66738,Production Technician II,MA,1985-11-23,F,Single,2014-11-10,NULL,Active,Production,Indeed,Fully Meets,4.53,Excellent,2014
221,Victoria Roberts,93554,Data Analyst,MA,1984-09-16,F,Married,2014-11-10,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,Excellent,2014
237,Harper Parker,61422,Production Technician I,MA,1985-01-07,F,Married,2011-01-10,5/17/2016,Terminated for Cause,Production,Indeed,Needs Improvement,3.6,Average,2011
239,Amelia Bell,89883,Data Analyst,MA,1981-10-11,F,Married,2015-02-16,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.69,Excellent,2015
240,Samuel Ramirez,120000,Principal Data Architect,MA,1973-05-27,F,Single,2015-01-05,11/10/2018,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3.88,Average,2015
249,Victoria Evans,57975,Production Technician II,MA,1986-04-26,M,Married,2010-08-30,NULL,Active,Production,CareerBuilder,Fully Meets,4.1,Average,2010
250,Alexander Green,88527,Data Analyst,MA,1987-12-17,M,Divorced,2015-01-05,10/31/2015,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,4.2,Average,2015
251,Lucy Baker,56147,Production Technician I,MA,1988-07-10,F,Married,2014-09-29,NULL,Active,Production,LinkedIn,Fully Meets,3.51,Average,2014
253,Abena Mensah,50750,Network Engineer,MA,1981-04-14,F,Married,2014-09-30,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.31,Average,2014
258,Kwadwo Owusu,60656,Production Technician II,MA,1963-10-30,M,Single,2014-09-29,NULL,Active,Production,Indeed,Exceeds,4.3,Average,2014
270,Kwaku Ofori,61355,Production Technician I,MA,1985-03-14,M,Married,2014-02-17,NULL,Active,Production,LinkedIn,Fully Meets,4.7,Average,2014
292,Nii Amponsah,55875,Area Sales Manager,ME,1989-07-11,M,Single,2012-03-05,NULL,Active,Sales,Website,Fully Meets,4.5,Good,2012
